run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
81,3.7917668,0.9595796,0.3038141,0.19397132,0.11386745,0.01665853,0.04237093,0.0200329,-0.000508292,0.9770428,0.8528337,0.9580591
82,4.0121413,0.9731799,0.3228981,0.32132256,0.12387112,0.01463807,0.108908959,0.039326763,-0.003155675,0.9455624,0.7215864,0.9472538
83,4.022122,1.035972,0.310443,0.33294004,0.17295991,0.02099295,0.066910628,0.034366699,-0.004701109,0.8897211,0.7081402,0.9022597
84,3.8509865,0.9532703,0.3189556,0.203600741,0.074254344,0.009712019,-0.002383683,-0.004601191,0.001307725,0.9528961,0.9212782,0.9826391
85,3.7286987,0.9575298,0.3198302,0.20411069,0.10662415,0.01458655,0.018003748,0.011186533,-0.002233179,0.934039,0.922555,0.9701297
86,3.8495554,0.8487774,0.3289863,0.20411628,0.07834031,0.01030698,-0.00490115,-0.027446425,0.005052612,0.9307222,0.8325902,0.9834661
87,3.8592786,0.909685,0.3282537,0.23000898,0.08602937,0.01058218,-0.021019281,-0.000296959,-0.000420657,0.9587126,0.9278693,0.9785245
88,3.9443166,0.9491234,0.3077711,0.17398949,0.07343894,0.01119249,-0.060756206,-0.00709164,0.002541248,0.9669146,0.8976748,0.9801699
89,4.0724166,0.8840486,0.3327144,0.27491754,0.09541075,0.01121676,0.024548254,-0.008346292,0.001296877,0.9440533,0.7803921,0.9769106
90,3.913725,0.9240366,0.3256082,0.2613242,0.09648671,0.01047432,-0.08007416,-0.02844957,0.00291265,0.8875322,0.8248625,0.9739602
91,3.8700857,0.8321117,0.3192599,0.208962184,0.061057787,0.007761854,-0.042664021,-0.015422147,0.002595002,0.9383227,0.9631996,0.9894886
92,3.8904958,0.8758466,0.3317279,0.22318354,0.08348182,0.01187105,-0.017636264,-0.016283614,0.003205333,0.9045772,0.9238215,0.9744223
93,3.8098915,0.8095619,0.3049297,0.202214288,0.069900334,0.009529769,-0.08211495,-0.039772669,0.005115045,0.9713428,0.8766345,0.9890072
