CExp1,HExp1,CExp2,HExp2,CExp3,HExp3,CExp4,HExp4,CExp5,HExp5
1.2254265,0.716701942,0.979059,0.769525479,0.9598401,0.884765489,0.873771,0.862961689,2.8540195,0.707755456
3.8129041,0.724049249,0.963253,0.759831227,0.9964806,0.839105444,0.7446808,0.790414973,2.4996802,0.693758381
1.1056849,0.736479376,1.0136788,0.773890748,0.8041211,0.862743308,0.9912194,0.830078647,1.3795256,0.711709092
1.0479692,0.762132245,1.0065154,0.757298725,0.9452279,0.816403489,0.9139079,0.853740273,1.5110303,0.740192386
0.8142102,0.701355711,0.8940019,0.788289888,0.9759547,0.849237156,0.765382,0.805520908,1.675011,0.724485664
0.8834496,0.671734504,0.8849932,0.774156211,0.9544452,0.853431786,1.0436111,0.837043382,2.1342404,0.707804096
2.1744383,0.743950943,0.9606476,0.760572689,0.9013937,0.865361326,0.8835208,0.826149417,2.4034784,0.72296545
3.752872,0.723167097,1.0228073,0.82179703,0.8711477,0.852709457,0.9393069,1.019581705,2.590264,0.714011966
0.9513221,0.711686189,0.87676,0.758791363,0.9609162,0.834755094,0.8650163,0.852031045,1.6232351,0.716153478
0.9090293,0.773226165,1.0448135,0.791569347,0.9575101,0.853999855,0.8406478,0.917955222,1.333237,0.718698555
1.5855446,0.709727063,0.9008168,0.760322533,0.8866522,0.85090697,0.8239887,0.853550465,2.553153,0.702338789
0.9664714,0.774487346,0.9904474,0.785883467,0.8839253,0.81328063,1.0007521,0.962804878,2.0348216,0.728695069
2.8605913,0.674779395,0.9327482,0.746580041,0.8710483,0.826653381,0.9267221,0.913947566,1.9470608,0.733557792
0.8087182,0.698618483,0.9125324,0.786474555,0.8639914,0.843015463,0.9927648,0.966640551,1.0992199,0.724567203
2.0443958,0.693142471,1.0146622,0.809503886,0.9341664,0.798509222,0.7693372,0.905136215,1.4676151,0.716148467
1.2592292,0.722513183,1.2906384,0.773987573,1.0059323,0.863933445,0.8738365,0.893505319,1.7743854,0.685431566
1.2488831,0.729477857,0.9912089,0.782363459,0.894358,0.844617236,0.939006,0.859173679,1.2928061,0.70062242
2.3070696,0.748716377,1.0411295,0.776421007,0.8812805,0.830798993,0.9300085,0.905018124,3.054199,0.690100677
2.0599727,0.76326115,0.8448083,0.750816174,0.8911612,0.849440016,0.9095511,0.996333469,2.2254533,0.689620315
1.3940261,0.664820643,0.9401012,0.770592893,0.966478,0.825023914,0.9950793,0.797604745,2.7461646,0.723972999
0.8182732,0.724267153,1.0818987,0.762090165,0.9040737,0.879286903,1.0604801,0.869255965,2.5728354,0.719346944
3.76469901,0.751489701,0.8733685,0.758621882,0.886826,0.852823564,0.9608745,0.832275921,1.8449971,0.703861714
1.9648643,0.674133319,0.9467245,0.780185349,0.9703721,0.878692439,0.941264,0.960273395,2.0577226,0.733899875
0.833364,0.732860369,0.9937526,0.783468621,0.9496699,0.868981177,0.9281484,0.871948383,2.2393927,0.700095809
1.036613,0.63019417,0.9286914,0.77569112,0.8941149,0.904317038,0.8839941,0.913002305,1.906701,0.720650935
2.3043149,0.799807292,0.8783022,0.801403766,0.9046127,0.864141302,0.7422686,0.932205528,1.8959114,0.711207541
2.8859051,0.67492622,0.9134604,0.767137493,0.8898784,0.868128186,0.8081309,0.857814352,1.7782338,0.704502118
2.7822777,0.740009613,0.972539,0.786896265,0.9225399,0.843599107,0.94811,0.857130452,1.9164031,0.712801213
2.2413017,0.794843214,0.993929,0.755518584,0.9896296,0.827166377,0.8605937,0.928325636,1.6471427,0.708190927
2.4935379,0.690983355,0.9403718,0.804474565,0.9057033,0.845934737,0.8009116,0.796288063,1.3654949,0.673461344
1.3157022,0.694348107,0.9137036,0.778792191,0.9763793,0.785783422,0.8607433,0.855374333,1.3752111,0.729127944
1.0857187,0.765291079,1.2282338,0.760802402,0.962719,0.830127328,0.8371183,0.992677966,2.2155458,0.700499993
1.0557117,0.672686089,1.0246174,0.776290355,0.9511162,0.85816571,0.918086,0.994140668,1.99727,0.709907865
1.8373764,0.749154185,0.9021911,0.811248162,0.9029043,0.873020023,0.8516347,0.963857435,1.7713581,0.71182494
4.1848324,0.753568221,0.8685033,0.747684512,0.9442031,0.822071098,0.8365597,0.870307696,1.2008784,0.688953837
1.582679,0.733247045,0.9229929,0.792359755,0.9392736,0.795864516,1.0683374,0.900136553,1.752084,0.70563655
1.5515681,0.706388606,1.005026,0.789963052,0.9595796,0.851809858,0.8098207,0.902573882,2.6803887,0.704250051
3.0418144,0.713532464,0.8781956,0.809414176,0.9731799,0.84068043,0.8961963,0.914050254,2.3657096,0.681987511
3.3806356,0.716627508,1.0005623,0.781618538,1.035972,0.834121447,0.896697,0.897334459,1.6978694,0.711732308
2.1504085,0.740527185,0.9855063,0.776041669,0.9532703,0.819404283,0.7291368,1.02676527,2.1925452,0.667348331
0.9455569,0.729155027,0.8561175,0.784357105,0.9575298,0.807271769,0.8851159,0.752138317,1.7656458,0.696621059
0.9540084,0.666577393,0.9625437,0.817460728,0.8487774,0.858001325,1.0058156,0.850501293,2.477197,0.714460303
1.5732581,0.677304463,0.9002661,0.794385076,0.909685,0.866569701,0.9276295,0.999039632,2.3449164,0.722140447
0.8950445,0.671534295,0.9221877,0.765592669,0.9491234,0.888057759,0.8786937,0.849986933,1.4800436,0.704438039
1.7084068,0.710868607,0.8349054,0.767117899,0.8840486,0.827361651,0.8238588,0.870113276,1.7655879,0.690343758
4.13043468,0.667626175,0.9428436,0.789416073,0.9240366,0.894178923,0.8401793,0.860670593,2.716275,0.724412822
1.6120245,0.716278144,1.0206663,0.736011477,0.8321117,0.84733248,0.9671157,0.953946699,1.34508,0.694994811
1.0022448,0.682665158,0.9285122,0.795696607,0.8758466,0.838242549,1.0087379,0.899164595,2.2098949,0.683578325
2.6254293,0.703372277,1.0117314,0.832544226,0.8095619,0.850372614,0.8737461,0.859656487,2.1643326,0.723730812
1.0853085,0.727678657,0.9624576,0.851367287,0.8916581,0.823805462,0.8181883,0.820395922,2.2985221,0.744610922
2.5354875,0.696082507,0.8604624,0.808030844,0.9402521,0.83536508,0.9021692,0.916083821,2.4041275,0.714521096
2.2704848,0.755648788,0.9741394,0.80986482,0.9214588,0.863571653,0.7868149,0.988700676,2.3585234,0.70081788
1.747704,0.738645949,0.8686666,0.783753297,0.9257819,0.848939442,0.9858349,0.806677487,1.7077523,0.707066562
3.473164,0.71524162,0.931995,0.778950077,0.8625744,0.801378072,1.0160504,0.913859007,1.6982174,0.705120026
0.8242123,0.733703586,0.8963101,0.730088196,0.9768045,0.873915291,1.027625,0.815202769,1.4113737,0.687918711
1.6482417,0.716934148,1.0390813,0.779100436,0.8967508,0.838059548,1.0026986,0.976540461,2.0203442,0.709245251
0.8940965,0.686429396,0.9122329,0.782841486,0.9027897,0.874016192,0.8741447,1.013729845,1.015589,0.726348811
1.734469,0.711785008,0.9362128,0.754941481,0.9411432,0.861624213,0.7441583,0.911958976,2.8145642,0.719114462
1.1418394,0.743134228,0.933388,0.754379952,0.9754446,0.840964705,0.9888722,0.846781944,1.6668538,0.70372395
7.52163287,0.691596459,0.9435832,0.816910317,0.8385446,0.851968995,0.9584812,0.90196948,1.843149,0.7350566
1.062723,0.701665777,0.9279759,0.80869175,0.8856126,0.898274091,1.0382903,0.796922706,1.5510377,0.703286723
